coverage,measure,scale,spearman
30.0,wip,0.005,0.9097219766338611
30.0,wip,0.02,0.9156364874766245
30.0,ip,0.01,0.9403511123933135
15.0,ip,0.01,0.8622736793332367
0.5,ip,0.01,0.6213737963228236
8.0,ip,0.01,0.9025944672584424
30.0,ip,0.05,0.9324556471838644
1.0,ip,0.01,0.7949644373466254
8.0,wip,0.01,0.9167195727080556
12.0,ip,0.01,0.8553889595620613
4.0,wip,0.01,0.862778190908205
2.0,wip,0.01,0.785781018374537
50.0,ip,0.01,0.9456119879676962
4.0,ip,0.01,0.8506299859654268
30.0,ip,0.001,0.7007272077878289
30.0,ip,0.02,0.9273171455144669
15.0,wip,0.01,0.8930248028399295
1.0,wip,0.01,0.7989597405505958
30.0,ip,0.005,0.9051944241628483
30.0,wip,0.1,0.9153650506824966
12.0,wip,0.01,0.8930297293238975
30.0,ip,0.1,0.8661937426977664
50.0,wip,0.01,0.9109458315498152
30.0,wip,0.001,0.9044191870754977
0.5,wip,0.01,0.7615731619951362
30.0,wip,0.05,0.8985662056156519
2.0,ip,0.01,0.8260338566686284
30.0,wip,0.01,0.9103418688569863
30.0,wip,0.005,0.8996592287361916
30.0,wip,0.02,0.9079247213327069
30.0,ip,0.01,0.8608033733484676
15.0,ip,0.01,0.8578352041194316
0.5,ip,0.01,0.7009914503935997
8.0,ip,0.01,0.8722234528580239
30.0,ip,0.05,0.7896764663193152
1.0,ip,0.01,0.6963410790330937
8.0,wip,0.01,0.9062097329207418
12.0,ip,0.01,0.8346615947447726
4.0,wip,0.01,0.8698648861752145
2.0,wip,0.01,0.8571399799577423
50.0,ip,0.01,0.8836452722470711
4.0,ip,0.01,0.814116522165073
30.0,ip,0.001,0.758242002122058
30.0,ip,0.02,0.8550046501012226
15.0,wip,0.01,0.9017983198855799
1.0,wip,0.01,0.7641894687226279
30.0,ip,0.005,0.8536616055070446
30.0,wip,0.1,0.911863642406845
12.0,wip,0.01,0.8786327481791623
30.0,ip,0.1,0.941610292951847
50.0,wip,0.01,0.959944281956876
30.0,wip,0.001,0.9328972082866195
0.5,wip,0.01,0.5610894036978464
30.0,wip,0.05,0.9667850990035532
2.0,ip,0.01,0.8073031051996488
30.0,wip,0.01,0.9590755158675666
30.0,wip,0.005,0.6914853695187932
30.0,wip,0.02,0.9622769744945245
30.0,ip,0.01,0.9481391888096461
15.0,ip,0.01,0.9148342520017694
0.5,ip,0.01,0.5756747003211843
8.0,ip,0.01,0.9485772548762808
30.0,ip,0.05,0.9464713358261171
1.0,ip,0.01,0.5629398036080773
8.0,wip,0.01,0.9563205728224555
12.0,ip,0.01,0.9429894323667927
4.0,wip,0.01,0.926415932646941
2.0,wip,0.01,0.8275540196186658
50.0,ip,0.01,0.9388243382856393
4.0,ip,0.01,0.8948604325421728
30.0,ip,0.001,0.8101806489322066
30.0,ip,0.02,0.9503269079423954
15.0,wip,0.01,0.9482618467754195
1.0,wip,0.01,0.5774525361809191
30.0,ip,0.005,0.6854390878020883
