"tool"	"metric"	"size"	"cov"	"var"	"time_mean"	"time_sd"	"nread_mean"	"nread_sd"	"nkmer_mean"	"nkmer_sd"
"kwip"	"ip"	1.0e7	8.0	0.2	31.68927048444748	2.487408962278749	81781.60555555555	24335.46209579395	1.0707797680555556e6	124418.49635364355
"kwip"	"wip"	1.0e7	8.0	0.2	37.99417927265167	1.806989666035425	81781.60555555555	24335.46209579395	1.0707797680555556e6	124418.49635364355
"kwip"	"ip"	1.0e7	32.0	0.2	39.33261307477951	3.223173882806298	326441.375	96765.15498542294	1.8738680055555555e6	303597.5855767018
"kwip"	"wip"	1.0e7	32.0	0.2	46.06346914768219	2.588540027335221	326441.375	96765.15498542294	1.8738680055555555e6	303597.5855767018
"mash"	"mash"	100000.0	8.0	0.001	3.3338861227035523	0.291745737803685	NA	NA	NA	NA
"mash"	"mashec"	100000.0	8.0	0.001	3.0184822201728823	0.24570796418842267	NA	NA	NA	NA
"mash"	"mash"	100000.0	32.0	0.001	3.1872392892837524	0.24885383356234947	NA	NA	NA	NA
"mash"	"mashec"	100000.0	32.0	0.001	2.932265830039978	0.22719159272374626	NA	NA	NA	NA
"mash"	"mash"	100000.0	1.0	0.002	3.5724151372909545	0.34040041511905134	NA	NA	NA	NA
"mash"	"mashec"	100000.0	1.0	0.002	3.447105360031128	0.35006711325186524	NA	NA	NA	NA
"mash"	"mash"	100000.0	2.0	0.002	3.6623218655586243	0.4145837344901453	NA	NA	NA	NA
"mash"	"mashec"	100000.0	2.0	0.002	3.4935261368751527	0.7077708630690361	NA	NA	NA	NA
"mash"	"mash"	100000.0	4.0	0.002	3.5164449334144594	0.22386745114746265	NA	NA	NA	NA
"mash"	"mashec"	100000.0	4.0	0.002	3.5191653251647947	0.45522519601227385	NA	NA	NA	NA
"mash"	"mash"	100000.0	8.0	0.002	3.6391663670539858	0.32945485907208033	NA	NA	NA	NA
"mash"	"mashec"	100000.0	8.0	0.002	3.3165328979492186	0.34860637138824735	NA	NA	NA	NA
"mash"	"mash"	100000.0	16.0	0.002	3.5401625990867616	0.3078155846043639	NA	NA	NA	NA
"mash"	"mashec"	100000.0	16.0	0.002	3.253608524799347	0.3141254402092834	NA	NA	NA	NA
"mash"	"mash"	100000.0	32.0	0.002	3.459254252910614	0.31533206837474315	NA	NA	NA	NA
"mash"	"mashec"	100000.0	32.0	0.002	3.172330355644226	0.3907025752871914	NA	NA	NA	NA
"mash"	"mash"	100000.0	64.0	0.002	3.4627671360969545	0.5700328657116384	NA	NA	NA	NA
"mash"	"mashec"	100000.0	64.0	0.002	3.3929813146591186	0.4696344864180671	NA	NA	NA	NA
"mash"	"mash"	100000.0	128.0	0.002	3.3774407386779783	0.3131748665954743	NA	NA	NA	NA
"mash"	"mashec"	100000.0	128.0	0.002	3.2981196522712706	0.46060122807455145	NA	NA	NA	NA
"mash"	"mash"	100000.0	1.0	0.005	3.969532585144043	0.6442779623065839	NA	NA	NA	NA
"mash"	"mashec"	100000.0	1.0	0.005	3.8977994680404664	0.7629649643828265	NA	NA	NA	NA
"mash"	"mash"	100000.0	2.0	0.005	3.9687013030052185	0.7090730028217335	NA	NA	NA	NA
"mash"	"mashec"	100000.0	2.0	0.005	3.767547869682312	0.535006481127723	NA	NA	NA	NA
"mash"	"mash"	100000.0	4.0	0.005	3.9623701572418213	0.6369274475042712	NA	NA	NA	NA
"mash"	"mashec"	100000.0	4.0	0.005	4.015114855766297	0.7839505665442976	NA	NA	NA	NA
"mash"	"mash"	100000.0	8.0	0.005	4.145801937580108	0.7900879450001976	NA	NA	NA	NA
"mash"	"mashec"	100000.0	8.0	0.005	3.8003817439079284	0.5792058513972852	NA	NA	NA	NA
"mash"	"mash"	100000.0	16.0	0.005	4.113504707813263	0.9434577007177039	NA	NA	NA	NA
"mash"	"mashec"	100000.0	16.0	0.005	3.496237909793854	0.4594524447781606	NA	NA	NA	NA
