Sample	SampleSum	WeightedSampleSum	Weight	Entropy
JE_Soil_63	3.26148e+06	1.50025e+06	4.89303e+12	0.00100382
JE_Soil_64	2.33474e+06	1.06273e+06	2.4812e+12	0.000767242
JE_Soil_66	6.53477e+06	3.9721e+06	2.59568e+13	0.00195575
JE_Soil_67	2.93492e+06	1.35595e+06	3.97961e+12	0.000941408
JE_Soil_68	2.18594e+06	892367	1.95066e+12	0.000741698
JE_Soil_70	6.00648e+06	3.56061e+06	2.13867e+13	0.00185735
JE_Soil_71	3.43326e+06	1.56934e+06	5.38796e+12	0.00101003
JE_Soil_72	911202	337642	3.0766e+11	0.000427176
JE_Soil_74	9.28073e+06	6.25297e+06	5.80321e+13	0.00246192
JE_Soil_75	3.61165e+06	1.78679e+06	6.45327e+12	0.00115789
JE_Soil_76	1.46794e+06	536492	7.87537e+11	0.000585598
JE_Soil_78	6.95871e+06	4.32621e+06	3.01049e+13	0.00198469
JE_Soil_80	1.45003e+06	561932	8.14819e+11	0.000519499
JE_Soil_82	6.20442e+06	3.80218e+06	2.35903e+13	0.00191215
JE_Soil_83	3.69966e+06	1.79843e+06	6.65357e+12	0.00108931
JE_Soil_84	718128	250983	1.80238e+11	0.000341596
JE_Soil_86	4.62432e+06	2.52938e+06	1.16966e+13	0.00144746
JE_Soil_87	4.16918e+06	2.05559e+06	8.57014e+12	0.00124252
JE_Soil_88	1.11965e+06	443485	4.96548e+11	0.000459675
JE_Soil_91	2.96401e+06	1.35308e+06	4.01054e+12	0.0010163
JE_Soil_92	995306	392567	3.90724e+11	0.000454193
JE_Soil_95	4.22916e+06	2.11702e+06	8.95324e+12	0.00137468
JE_Soil_96	1.53991e+06	660387	1.01694e+12	0.000599202
JE_Soil_98	9.26334e+06	6.28647e+06	5.82337e+13	0.0027224
JE_Soil_99	4.04777e+06	2.2423e+06	9.07633e+12	0.00127461
JE_Soil_100	5.71955e+06	3.44081e+06	1.96799e+13	0.00163325
JE_Soil_101	3.794e+06	2.06708e+06	7.8425e+12	0.00127384
JE_Soil_102	1.27465e+07	9.01646e+06	1.14928e+14	0.00335408
JE_Soil_103	4.45242e+06	2.45807e+06	1.09443e+13	0.00146198
JE_Soil_104	2.86962e+06	1.4811e+06	4.25019e+12	0.000979255
JE_Soil_105	8.20935e+06	5.5052e+06	4.51941e+13	0.00242922
JE_Soil_106	3.88928e+06	2.18368e+06	8.49296e+12	0.0012479
JE_Soil_107	3.88166e+06	2.15485e+06	8.3644e+12	0.00128785
JE_Soil_108	5.65628e+06	3.41677e+06	1.93262e+13	0.00157195
JE_Soil_109	6.47113e+06	4.09279e+06	2.6485e+13	0.00220608
JE_Soil_110	8.1884e+06	5.24744e+06	4.29681e+13	0.00246262
JE_Soil_111	5.0274e+06	2.8979e+06	1.45689e+13	0.00161458
JE_Soil_112	5.02046e+06	2.93978e+06	1.47591e+13	0.00149801
JE_Soil_113	6.96782e+06	4.46296e+06	3.10971e+13	0.00218514
JE_Soil_115	4.19105e+06	2.30235e+06	9.64927e+12	0.00134472
JE_Soil_116	2.91787e+06	1.50448e+06	4.38989e+12	0.00100956
JE_Soil_117	9.25031e+06	6.22766e+06	5.76078e+13	0.00275223
JE_Soil_118	8.93949e+06	5.87344e+06	5.25056e+13	0.00264272
JE_Soil_119	5.38942e+06	3.22872e+06	1.74009e+13	0.00158576
JE_Soil_120	5.54048e+06	3.37366e+06	1.86917e+13	0.00167434
JE_Soil_121	3.23066e+06	1.7324e+06	5.59678e+12	0.000725519
JE_Soil_122	9.71155e+06	6.61408e+06	6.4233e+13	0.00265847
JE_Soil_124	2.21263e+06	1.06988e+06	2.36724e+12	0.000734393
JE_Soil_125	4.9862e+06	2.99152e+06	1.49163e+13	0.00176343
JE_Soil_126	6.55635e+06	4.03275e+06	2.64401e+13	0.00214622
JE_Soil_127	4.16296e+06	2.20026e+06	9.15959e+12	0.00122694
JE_Soil_128	2.60388e+06	1.34775e+06	3.50938e+12	0.00085496
JE_Soil_129	7.7403e+06	5.11929e+06	3.96248e+13	0.0024061
JE_Soil_130	1.02062e+07	6.95898e+06	7.10246e+13	0.00290698
JE_Soil_131	2.65547e+06	1.27981e+06	3.3985e+12	0.000913003
JE_Soil_133	1.93248e+06	908128	1.75493e+12	0.000649822
JE_Soil_134	4.56991e+06	2.61855e+06	1.19666e+13	0.00166152
JE_Soil_135	3.67815e+06	1.91487e+06	7.04315e+12	0.000965804
JE_Soil_136	2.59683e+06	1.30403e+06	3.38634e+12	0.000851709
JE_Soil_138	8.15531e+06	5.18365e+06	4.22743e+13	0.00239882
JE_Soil_139	3.3237e+06	1.67416e+06	5.5644e+12	0.000999842
JE_Soil_141	3.93057e+06	2.19689e+06	8.63504e+12	0.000888845
JE_Soil_142	4.57007e+06	2.62798e+06	1.201e+13	0.00169939
JE_Soil_143	4.7522e+06	2.6155e+06	1.24294e+13	0.0013333
JE_Soil_144	1.31745e+06	554646	7.30718e+11	0.000558592
JE_Soil_177	5.89512e+06	3.51472e+06	2.07197e+13	0.00141175
JE_Soil_178	1.07136e+07	7.36955e+06	7.89546e+13	0.00268876
JE_Soil_179	5.86017e+06	3.32617e+06	1.94919e+13	0.00152156
JE_Soil_180	2.51322e+06	1.14418e+06	2.87557e+12	0.000743756
JE_Soil_181	8.10133e+06	5.2786e+06	4.27637e+13	0.00207679
JE_Soil_182	6.97288e+06	4.42499e+06	3.08549e+13	0.00189618
JE_Soil_183	8.40065e+06	5.20925e+06	4.37611e+13	0.00200538
JE_Soil_184	2.55076e+06	1.22055e+06	3.11334e+12	0.000812827
JE_Soil_185	5.03219e+06	3.05264e+06	1.53615e+13	0.00154041
JE_Soil_186	6.87902e+06	4.34167e+06	2.98664e+13	0.00193437
JE_Soil_187	6.10646e+06	3.48841e+06	2.13018e+13	0.00152386
JE_Soil_188	2.04355e+06	922095	1.88435e+12	0.000693608
JE_Soil_189	8.43439e+06	5.54239e+06	4.67467e+13	0.00206347
JE_Soil_190	4.96904e+06	2.86929e+06	1.42576e+13	0.00150008
JE_Soil_191	6.36744e+06	3.6461e+06	2.32163e+13	0.00151588
JE_Soil_192	3.51261e+06	1.78536e+06	6.27129e+12	0.000901024
JE_Soil_193	7.11607e+06	4.52458e+06	3.21972e+13	0.00185775
JE_Soil_194	4.13345e+06	2.25901e+06	9.33749e+12	0.0013719
JE_Soil_195	6.53716e+06	3.75896e+06	2.45729e+13	0.001594
JE_Soil_196	1.63332e+06	703332	1.14877e+12	0.000543174
JE_Soil_197	7.67146e+06	4.89809e+06	3.75755e+13	0.00202275
JE_Soil_198	7.93569e+06	5.13284e+06	4.07327e+13	0.00206943
JE_Soil_199	6.02212e+06	3.36159e+06	2.02439e+13	0.00157034
JE_Soil_200	1.9992e+06	901251	1.80178e+12	0.000667464
JE_Soil_202	9.9468e+06	6.80909e+06	6.77286e+13	0.00270159
JE_Soil_204	1.84143e+06	792557	1.45944e+12	0.000629626
JE_Soil_206	7.38055e+06	4.66671e+06	3.44429e+13	0.00193547
JE_Soil_208	2.76285e+06	1.34458e+06	3.71489e+12	0.000825027
JE_Soil_210	1.13216e+07	7.84843e+06	8.88565e+13	0.00276494
JE_Soil_211	4.60077e+06	2.4323e+06	1.11905e+13	0.00120106
JE_Soil_212	1.17878e+06	472305	5.56744e+11	0.000428066
JE_Soil_214	6.0475e+06	3.67205e+06	2.22067e+13	0.00169865
JE_Soil_215	5.29401e+06	2.79775e+06	1.48113e+13	0.00140638
JE_Soil_216	1.94108e+06	854119	1.65791e+12	0.000640538
JE_Soil_218	8.61454e+06	5.56528e+06	4.79424e+13	0.0022064
JE_Soil_219	6.66885e+06	3.88154e+06	2.58854e+13	0.00164322
JE_Soil_220	2.90662e+06	1.38949e+06	4.03871e+12	0.000935996
JE_Soil_222	5.89488e+06	3.50455e+06	2.06589e+13	0.00171069
JE_Soil_223	5.00227e+06	2.71209e+06	1.35666e+13	0.00123332
JE_Soil_224	1.96248e+06	865439	1.6984e+12	0.000728785
JE_Soil_227	5.65655e+06	3.15908e+06	1.78695e+13	0.00156215
JE_Soil_228	3.42471e+06	1.60008e+06	5.47982e+12	0.000985877
JE_Soil_229	6.37324e+06	4.03311e+06	2.57039e+13	0.00176927
JE_Soil_231	5.78268e+06	3.26253e+06	1.88662e+13	0.00146689
JE_Soil_232	2.4685e+06	1.04978e+06	2.59138e+12	0.000778415
JE_Soil_233	6.04256e+06	3.87939e+06	2.34415e+13	0.00178312
JE_Soil_234	5.45286e+06	3.2994e+06	1.79912e+13	0.00168732
JE_Soil_235	5.43035e+06	2.93071e+06	1.59148e+13	0.00145083
JE_Soil_236	1.86094e+06	747899	1.39179e+12	0.000634822
JE_Soil_239	4.26781e+06	2.11322e+06	9.01883e+12	0.00127593
JE_Soil_240	2.31956e+06	959278	2.2251e+12	0.000728236
JE_Soil_241	7.43772e+06	4.77077e+06	3.54837e+13	0.00186498
JE_Soil_244	2.1177e+06	857972	1.81693e+12	0.000719089
JE_Soil_248	1.53393e+06	659890	1.01222e+12	0.000552822
JE_Soil_249	1.25192e+07	8.90043e+06	1.11426e+14	0.00296796
JE_Soil_250	7.66399e+06	4.79056e+06	3.67148e+13	0.00207892
JE_Soil_252	2.45974e+06	1.10858e+06	2.72681e+12	0.00083629
JE_Soil_253	7.84882e+06	5.06839e+06	3.97809e+13	0.00206029
JE_Soil_254	1.11672e+07	7.56323e+06	8.44603e+13	0.00266843
JE_Soil_256	3.36756e+06	1.58035e+06	5.32194e+12	0.000990476
JE_Soil_257	5.62855e+06	3.49349e+06	1.96633e+13	0.00175545
JE_Soil_258	7.5464e+06	4.72664e+06	3.56691e+13	0.00210107
JE_Soil_260	2.11203e+06	875087	1.84821e+12	0.000692751
JE_Soil_262	9.1029e+06	5.88428e+06	5.35641e+13	0.00238985
JE_Soil_264	2.5952e+06	1.16266e+06	3.01733e+12	0.000775968
JE_Soil_265	8.08125e+06	5.32525e+06	4.30347e+13	0.00213243
JE_Soil_266	7.14674e+06	4.40783e+06	3.15016e+13	0.00195968
JE_Soil_268	2.67147e+06	1.14816e+06	3.06729e+12	0.000859828
